min1800	t2m	rh	padavine	veter_hitrost
111538080	-3.3	82	0	0.4
111538110	-3.8	84	0	0.3
111538140	-4	85	0	0.5
111538170	-4.1	85	0	0.6
111538200	-4.2	84	0	0.7
111538230	-4.4	84	0	0.3
111538260	-4.6	85	0	0.4
111538290	-4.8	85	0	0.7
111538320	-5	86	0	0.7
111538350	-5.2	87	0	0.9
111538380	-5.5	88	0	0.7
111538410	-5.7	89	0	0.6
111538440	-5.8	90	0	0.4
111538470	-5.8	89	0	0.6
111538500	-5.7	88	0	0.6
111538530	-5.8	88	0	0.5
111538560	-5.8	88	0	0.6
111538590	-5.7	87	0	0.5
111538620	-5	85	0	0.5
111538650	-4	80	0	0.5
111538680	-3.3	75	0	0.7
111538710	-2.6	72	0	0.9
111538740	-1.8	68	0	1.1
111538770	-1	65	0	1.1
111538800	-0.1	61	0	1.1
111538830	0.5	57	0	0.9
111538860	0.9	54	0	1.2
111538890	1.1	53	0	1.7
111538920	1.3	53	0	1.2
111538950	1.6	52	0	1.2
111538980	1.8	51	0	1.1
111539010	2.1	50	0	1.5
111539040	2.3	50	0	1.5
111539070	1.9	50	0	0.8
111539100	1.3	53	0	1
111539130	0.6	56	0	0.8
111539160	0.1	59	0	0.9
111539190	-0.2	61	0	0.9
111539220	-0.6	63	0	0.5
111539250	-1	65	0	0.4
111539280	-1.4	69	0	0.5
111539310	-1.7	70	0	0.4
111539340	-1.9	71	0	0.3
111539370	-2.1	72	0	0.5
111539400	-2.3	73	0	0.8
111539430	-2.6	75	0	0.7
111539460	-2.8	77	0	0.3
111539490	-3.1	78	0	0.4
