min1800	t2m	rh	padavine	veter_hitrost
111500640	-0.4	92	0.0	1.1
111500670	-0.5	92	0.0	0.9
111500700	-0.5	92	0.0	0.7
111500730	-0.5	92	0.0	0.8
111500760	-0.6	92	0.0	0.7
111500790	-0.6	92	0.0	0.4
111500820	-0.5	92	0.0	0.8
111500850	-0.5	92	0.0	0.9
111500880	-0.5	92	0.0	0.6
111500910	-0.5	92	0.0	1.1
111500940	-0.6	92	0.0	0.4
111500970	-0.5	92	0.0	0.4
111501000	-0.5	91	0.0	0.4
111501030	-0.7	90	0.0	0.2
111501060	-0.6	90	0.0	0.5
111501090	-0.8	91	0.0	0.9
111501120	-0.9	93	0.0	0.8
111501150	-0.9	93	0.0	0.4
111501180	-0.7	93	0.0	0.5
111501210	-0.3	92	0.0	0.7
111501240	0.0	90	0.0	0.7
111501270	0.5	87	0.0	0.7
111501300	0.7	86	0.0	1.4
111501330	1.6	82	0.0	0.6
111501360	2.7	75	0.0	0.9
111501390	3.0	72	0.0	0.9
111501420	3.1	74	0.0	1.1
111501450	4.1	70	0.0	1.0
111501480	4.4	68	0.0	1.1
111501510	4.8	66	0.0	1.4
111501540	4.7	68	0.0	1.0
111501570	5.0	68	0.0	0.6
111501600	4.9	69	0.0	0.6
111501630	4.4	73	0.0	0.4
111501660	3.7	77	0.0	0.3
111501690	3.2	80	0.0	0.4
111501720	2.7	83	0.0	0.5
111501750	2.4	85	0.0	0.9
111501780	2.3	86	0.0	0.4
111501810	2.0	88	0.0	0.9
111501840	1.6	89	0.0	0.1
111501870	1.2	90	0.0	0.3
111501900	1.1	91	0.0	0.4
111501930	0.7	92	0.0	0.6
111501960	0.4	93	0.0	0.9
111501990	0.1	94	0.0	0.8
111502020	-0.1	94	0.0	0.3
111502050	-0.2	94	0.0	0.9
111502080	-0.3	94	0.0	0.6
111502110	-0.5	95	0.0	0.6
111502140	-0.8	95	0.0	0.6
111502170	-1.0	95	0.0	0.6
111502200	-1.0	95	0.0	0.6
111502230	-1.1	95	0.0	0.9
111502260	-1.2	95	0.0	0.6
111502290	-1.2	95	0.0	0.4
111502320	-1.3	95	0.0	0.3
111502350	-1.4	95	0.0	0.3
111502380	-1.1	95	0.0	0.7
111502410	-0.9	94	0.0	0.4
111502440	-0.8	94	0.0	0.5
111502470	-0.8	93	0.0	0.3
111502500	-0.8	93	0.0	0.2
111502530	-0.3	93	0.0	0.4
111502560	0.2	92	0.0	0.4
111502590	0.7	92	0.0	1.0
111502620	1.3	91	0.0	1.5
111502650	3.0	86	0.0	2.4
111502680	5.5	74	0.0	1.4
111502710	6.2	71	0.0	1.8
111502740	6.3	73	0.0	1.2
111502770	6.8	74	0.0	1.4
111502800	7.4	74	0.0	1.9
111502830	7.6	75	0.0	2.2
111502860	7.7	76	0.0	2.0
111502890	8.0	76	0.0	2.1
111502920	7.8	75	0.0	1.9
111502950	7.5	76	0.0	1.5
111502980	7.8	78	0.0	2.0
111503010	7.8	81	0.0	2.4
111503040	7.9	79	0.0	2.6
111503070	8.2	71	0.0	3.0
111503100	8.1	68	0.0	3.3
111503130	8.1	70	0.0	2.9
111503160	8.1	73	0.0	2.4
111503190	8.0	75	0.0	2.2
111503220	7.8	77	0.0	2.1
111503250	7.4	79	0.0	1.4
111503280	7.4	80	0.0	1.4
111503310	7.2	84	0.0	1.4
111503340	7.1	87	0.0	0.8
111503370	6.9	87	0.1	1.1
111503400	6.8	88	0.0	1.0
111503430	6.8	88	0.0	1.1
111503460	6.8	89	0.1	1.1
111503490	6.6	91	0.3	1.0
111503520	6.3	92	0.4	1.6
111503550	6.0	94	0.5	1.5
111503580	5.9	94	1.1	1.3
111503610	5.9	95	1.0	0.9
111503640	5.9	95	2.2	1.1
111503670	6.0	95	2.6	1.3
111503700	6.5	94	2.7	3.0
111503730	6.5	91	2.1	4.8
111503760	6.2	91	2.5	4.7
111503790	6.0	89	1.7	3.3
111503820	5.9	90	1.7	2.2
111503850	5.8	91	0.9	1.0
111503880	5.8	92	0.6	1.2
111503910	5.8	93	0.7	2.0
111503940	5.6	94	0.8	2.0
111503970	5.5	94	0.5	2.2
111504000	5.5	94	0.4	2.0
111504030	5.5	94	0.1	2.2
111504060	5.5	93	0.0	0.8
111504090	5.4	93	0.0	0.5
111504120	5.5	92	0.0	0.4
111504150	5.8	92	0.0	0.7
111504180	5.8	91	0.0	1.3
111504210	5.9	91	0.1	0.4
111504240	6.1	91	0.0	0.4
111504270	6.3	92	0.0	1.2
111504300	6.4	92	0.0	1.1
111504330	6.3	92	0.1	1.2
111504360	6.3	92	0.0	0.9
111504390	6.3	92	0.0	1.5
111504420	6.3	92	0.0	1.3
111504450	6.3	92	0.0	1.0
111504480	6.3	92	0.0	1.2
111504510	6.2	92	0.0	1.4
111504540	6.1	93	0.0	1.1
111504570	6.0	93	0.0	1.6
111504600	6.0	93	0.0	1.5
111504630	5.9	93	0.0	1.4
111504660	5.9	91	0.0	0.8
111504690	5.9	92	0.0	1.2
111504720	5.8	94	0.0	1.6
111504750	5.8	94	0.0	2.2
111504780	5.7	94	0.0	1.5
111504810	5.7	94	0.0	1.4
111504840	5.8	93	0.0	1.0
111504870	5.8	93	0.0	0.9
111504900	5.7	93	0.0	0.9
111504930	5.6	93	0.0	0.8
111504960	5.6	93	0.0	1.3
111504990	5.5	92	0.0	1.0
111505020	5.4	92	0.0	1.1
111505050	5.2	93	0.0	0.3
111505080	5.2	93	0.0	0.6
111505110	5.2	93	0.0	0.9
111505140	5.2	92	0.0	0.9
111505170	5.3	91	0.0	0.7
111505200	5.2	91	0.0	0.5
111505230	5.1	93	0.0	0.5
111505260	5.1	93	0.0	0.4
111505290	5.1	93	0.0	0.2
111505320	5.2	94	0.0	0.5
111505350	5.1	94	0.0	0.3
111505380	5.2	94	0.0	0.8
111505410	5.3	94	0.0	0.8
111505440	5.5	94	0.0	0.7
111505470	6.1	92	0.0	1.4
111505500	6.9	86	0.0	2.3
111505530	7.5	80	0.0	2.0
111505560	7.7	76	0.0	2.1
111505590	7.9	74	0.0	3.0
111505620	8.0	72	0.0	3.3
111505650	8.3	70	0.0	3.6
111505680	8.7	67	0.0	3.5
111505710	8.9	66	0.0	3.2
111505740	9.0	63	0.0	3.0
111505770	8.9	62	0.0	2.8
111505800	8.8	64	0.0	2.0
111505830	8.8	67	0.0	2.3
111505860	8.6	69	0.0	2.4
111505890	8.5	70	0.0	1.9
111505920	8.3	71	0.0	1.4
111505950	7.8	76	0.0	1.4
111505980	7.6	77	0.0	1.4
111506010	7.3	78	0.0	0.9
111506040	7.1	80	0.0	0.7
111506070	6.7	82	0.0	0.7
111506100	6.3	84	0.0	0.7
111506130	6.3	87	0.0	0.7
111506160	5.6	89	0.0	0.9
111506190	5.0	91	0.0	0.5
111506220	4.4	93	0.0	0.8
111506250	4.0	94	0.0	0.7
111506280	3.7	94	0.0	0.5
111506310	3.5	94	0.0	0.7
111506340	3.1	95	0.0	1.0
111506370	2.8	96	0.0	1.1
111506400	2.6	96	0.0	1.2
111506430	2.7	96	0.0	1.0
111506460	2.8	96	0.0	0.6
111506490	3.0	97	0.0	0.6
111506520	2.8	97	0.0	1.4
111506550	2.6	97	0.0	1.1
111506580	2.3	97	0.0	1.1
111506610	2.3	97	0.0	0.6
111506640	2.2	97	0.0	0.9
111506670	2.2	97	0.0	0.6
111506700	2.3	97	0.0	0.7
111506730	2.4	97	0.0	0.9
111506760	2.6	97	0.0	0.6
111506790	2.2	97	0.0	1.2
111506820	2.1	97	0.0	0.7
111506850	2.2	97	0.0	0.8
111506880	2.3	97	0.0	0.4
111506910	2.5	97	0.0	0.6
111506940	2.1	97	0.0	0.9
111506970	2.1	97	0.0	0.5
111507000	2.2	97	0.0	1.1
111507030	2.6	97	0.0	0.5
111507060	3.1	96	0.0	0.9
111507090	3.4	92	0.0	0.8
111507120	4.3	86	0.0	0.6
111507150	4.7	84	0.0	1.1
111507180	5.4	81	0.0	4.4
111507210	5.6	82	0.0	3.6
111507240	6.0	77	0.0	3.4
111507270	6.2	73	0.0	3.2
111507300	6.3	70	0.0	3.8
111507330	6.3	68	0.0	3.8
111507360	6.2	68	0.0	3.0
111507390	6.1	67	0.0	3.3
111507420	6.1	67	0.0	2.9
111507450	5.9	66	0.0	2.0
111507480	5.5	67	0.0	1.7
111507510	5.5	67	0.0	1.6
111507540	5.7	66	0.0	0.7
111507570	5.7	67	0.0	2.5
111507600	5.6	65	0.0	3.8
111507630	6.0	62	0.0	2.9
111507660	5.4	67	0.0	2.0
111507690	4.5	74	0.0	1.4
111507720	3.8	79	0.0	1.9
111507750	3.3	82	0.0	1.3
111507780	2.9	85	0.0	0.8
111507810	2.6	87	0.0	0.9
111507840	2.3	88	0.0	0.5
111507870	2.2	89	0.0	0.7
111507900	2.0	89	0.0	0.5
111507930	1.5	90	0.0	0.9
111507960	0.9	92	0.0	0.9
111507990	0.5	93	0.0	0.5
111508020	0.2	94	0.0	0.8
111508050	0.0	94	0.0	1.4
111508080	-0.2	95	0.0	1.3
111508110	-0.5	95	0.0	0.8
111508140	-0.8	96	0.0	0.9
111508170	-0.4	96	0.0	1.4
111508200	-0.3	96	0.0	1.3
111508230	-0.4	96	0.0	1.1
111508260	-0.4	96	0.0	1.2
111508290	-0.7	96	0.0	1.9
111508320	-1.0	95	0.0	1.9
111508350	-0.8	95	0.0	1.6
111508380	-0.4	92	0.0	0.7
111508410	0.2	91	0.0	1.3
111508440	1.6	83	0.0	1.9
111508470	3.3	71	0.0	1.7
111508500	5.1	59	0.0	1.5
111508530	6.7	56	0.0	2.1
111508560	8.1	43	0.0	1.6
111508590	9.4	31	0.0	2.8
111508620	9.3	30	0.0	2.9
111508650	9.7	29	0.0	4.2
111508680	9.6	29	0.0	4.2
111508710	9.5	28	0.0	5.4
111508740	9.6	28	0.0	4.9
111508770	9.4	29	0.0	4.6
