datetime,tempmax,tempmin,humidity,precip,precipprob,snow
2012-01-01,5.8,-3,90.36,0,,
2012-01-02,8.1,-4,87.85,0,,
2012-01-03,6.3,3.8,96.9,3.21,,
2012-01-04,9,-1,90.71,0.02,,
2012-01-05,6.1,-1,90.86,0.29,,
2012-01-06,9.1,-2,59.82,0.01,,
2012-01-07,6.7,-3.9,58.25,0,,
2012-01-08,9.9,-4.9,74.38,0,,
2012-01-09,9.9,-4,68.92,0,,
2012-01-10,9.8,-4.7,66.75,0,,
2012-01-11,7.9,-4,76.89,0,,
2012-01-12,6.1,-6,83.27,0,,
2012-01-13,7,-6,80.82,0,,
2012-01-14,7.3,-6.9,55.74,0,,
2012-01-15,6,-8.9,50.8,0,,
2012-01-16,2,-10,68.44,0,,
2012-01-17,5.1,-10,72.85,0,,
2012-01-18,4.9,-8,74.05,0,,
2012-01-19,5,-6,78.93,0,,
2012-01-20,6.2,-3,84.19,1.01,,
2012-01-21,4.8,-5,86.44,0.03,,
2012-01-22,9.8,-1.2,73.06,0,,
2012-01-23,10.1,-3.6,82.06,0,,
2012-01-24,6.8,-2.9,86.38,1.96,,
2012-01-25,4.6,-5,84.3,0,,
2012-01-26,2.5,-8.1,80.36,0,,
2012-01-27,2.3,-9.1,78.17,0,,
2012-01-28,1.6,-9,78.98,0,,
2012-01-29,0,-3.4,71.3,0,,
2012-01-30,1.5,-8.9,65.61,0,,
2012-01-31,-3.1,-11.1,65.22,0,,
2012-02-01,-1.1,-6.4,52.5,0,,
2012-02-02,-1,-9,48.48,0,,
2012-02-03,-7.1,-10,51.22,0,,
2012-02-04,-5.9,-9.9,71.69,0.03,,
2012-02-05,-6.9,-13,74.01,0.63,,
2012-02-06,-7,-14.9,74.59,0.02,,
2012-02-07,-4.1,-10.8,81.91,0.31,,
2012-02-08,-1.8,-16.9,71.75,0.01,,
2012-02-09,-2.9,-17.8,68.83,0,,
2012-02-10,-5.4,-12.9,70.14,0,,
2012-02-11,-6.4,-11.9,75.66,0.01,,
2012-02-12,-6,-12,83.11,1.51,,
2012-02-13,-1.7,-12,80.55,1,,
2012-02-14,0.6,-15.9,77.52,0,,
2012-02-15,4,-13.9,76.1,0,,
2012-02-16,7.7,-5,48.85,0,,
2012-02-17,8.6,-9,65.03,0,,
2012-02-18,10.6,-8,73.5,0,,
2012-02-19,9.4,-5.1,82.03,0.01,,
2012-02-20,2.8,-0.2,94.41,18.02,,
2012-02-21,5.9,-3.9,83.15,0,,
2012-02-22,8.3,-8,82.78,0,,
2012-02-23,9.8,-5.9,80.82,0,,
2012-02-24,20.3,-2.9,71.47,0,,
2012-02-25,17.6,-1,71.31,0,,
2012-02-26,11,-1,67.8,0,,
2012-02-27,8.9,-2,54.48,0,,
2012-02-28,10.3,-3.9,69.07,0,,
2012-02-29,21.8,-1,63.53,0,,
2012-03-01,17,0,75.83,0,,
2012-03-02,18.8,-1,78.83,0,,
2012-03-03,12.8,1,80.06,0,,
2012-03-04,11.1,1,72.34,0,,
2012-03-05,9.9,0,60.53,0,,
2012-03-06,10.6,-3.8,57.05,0,,
2012-03-07,8.1,-4.9,54.14,0,,
2012-03-08,13.1,-4.9,57.1,0,,
2012-03-09,12,-2.9,54.83,0,,
2012-03-10,11.9,-5,56.61,0,,
2012-03-11,15.1,-4,55.16,0,,
2012-03-12,13.1,1.1,60.17,0,,
2012-03-13,15,-1.8,73.49,0,,
2012-03-14,17.3,0.9,69.78,0,,
2012-03-15,13.8,-0.9,74.65,0,,
2012-03-16,20.8,-2.9,62.55,0,,
2012-03-17,18.7,-0.9,60.81,0,,
2012-03-18,14.8,3,73.38,0,,
2012-03-19,15,6.9,87.21,12.95,,
2012-03-20,16.3,5,78.66,8.35,,
2012-03-21,18.8,2,72.95,0,,
2012-03-22,20,1,69.71,0,,
2012-03-23,21.3,2,61.65,0,,
2012-03-24,20.6,2,59.94,0,,
2012-03-25,19.3,7.2,61.97,0.5,,
2012-03-26,19.5,1,60.28,0,,
2012-03-27,19.5,-0.9,50.71,0,,
2012-03-28,22.6,2.1,51.66,0,,
2012-03-29,21,2.1,61.03,0,,
2012-03-30,20,4,57.37,0,,
2012-03-31,20,2,61.45,0,,
2012-04-01,11,0.2,71.1,5.95,,
2012-04-02,16.1,-3.9,61.14,0,,
2012-04-03,16.5,2,69.54,0,,
2012-04-04,17.3,9.9,83.91,1.26,,
2012-04-05,16.5,9.8,89.19,1.1,,
2012-04-06,17.1,9.9,86.63,6.98,,
2012-04-07,15.6,7,89.59,20.67,,
2012-04-08,6.6,1.7,81.71,23.66,,
2012-04-09,10.1,-4,53.66,0.16,,
2012-04-10,15.2,-2.9,62.29,0,,
2012-04-11,10.5,6,74.15,2.26,,
2012-04-12,15.6,4.1,72.55,10.18,,
2012-04-13,14.2,3.1,74.75,0.01,,
2012-04-14,12.7,7,80.12,1.18,,
2012-04-15,12.4,7,89.5,2.51,,
2012-04-16,12.6,8,84.45,9.69,,
2012-04-17,13.7,0.1,64.54,0,,
2012-04-18,13.1,2.9,65.63,0,,
